name;category;image;rating;no_of_ratings;actual_price;discount_price
2.5mm Male to 3.5mm Female / 3.5mm Female to 2.5mm Male Stereo Audio Adapter Headset Converter Connector for Smartphones, ...;tv, audio & cameras;https://m.media-amazon.com/images/I/313lQ2EwxsL._AC_UL320_.jpg;3.4;407;4.38;2.74
Action Pro Helmet 3M Chin Mount Strap Compatible with All Smartphones GoPro Hero 11 10 9 8 7 6 5 4 SJCAM DJI Osmo and All ...;tv, audio & cameras;https://m.media-amazon.com/images/I/71cTCkvmtCL._AC_UL320_.jpg;3.8;4690;5.49;2.74
Action Pro™ Helmet Chin Mount Strap Compatible with All Smartphones GoPro Hero 11 10 9 8 7 6 5 4 SJCAM DJI Osmo and All Ac...;tv, audio & cameras;https://m.media-amazon.com/images/I/71Q90KypfFL._AC_UL320_.jpg;3.8;4690;8.79;3.69
Action Pro™ Helmet Chin Mount Strap Compatible with All Smartphones GoPro Hero 11 10 9 8 7 6 5 4 SJCAM DJI Osmo and All Ac...;tv, audio & cameras;https://m.media-amazon.com/images/I/71Pf2OjUDmL._AC_UL320_.jpg;3.8;4690;8.79;3.69
Action Pro™ Helmet Chin Mount Strap Compatible with All Smartphones GoPro Hero 11 10 9 8 7 6 5 4 SJCAM DJI Osmo and All Ac...;tv, audio & cameras;https://m.media-amazon.com/images/I/71BHf-AJFMS._AC_UL320_.jpg;3.8;4690;8.79;3.69
Action Pro™ Helmet Chin Mount Strap Set Compatible with All Smartphones GoPro Hero 11 10 9 8 7 6 5 4 SJCAM DJI Osmo and Al...;tv, audio & cameras;https://m.media-amazon.com/images/I/71gdDwiAcaL._AC_UL320_.jpg;3.8;4690;7.69;3.69
AGARO 3.1 A Dual Port Lightning, USB Smart Car Charger for All Smartphones & Tablets- Black;tv, audio & cameras;https://m.media-amazon.com/images/I/71Nq-BW+heL._AC_UL320_.jpg;3.7;65;5.45;1.38
AGARO 5.4 A USB Dual Port Quick Car Charger (Qualcomm Certified) for All Smartphones & Tablets - Grey;tv, audio & cameras;https://m.media-amazon.com/images/I/71d1dMgHSjL._AC_UL320_.jpg;3.7;143;9.85;2.20
Amazon Basics Double Braided Nylon USB Type-C to Type-C 2.0 Cable Smartphone (Dark Grey, 3 feet);tv, audio & cameras;https://m.media-amazon.com/images/I/61okK40PLGL._AC_UL320_.jpg;4.3;5569;0.13;5.60
Amazon Basics Mfi Certified Usb-C To Lightning Cable Cord For Smartphone (1-Ft, White);tv, audio & cameras;https://m.media-amazon.com/images/I/51OmyNuU1YL._AC_UL320_.jpg;4.0;1298;0.15;6.26
Amazon Basics Micro Usb Fast Charging Cable For Android Smartphone,Personal Computer,Printer With Gold Plated Connectors (...;tv, audio & cameras;https://m.media-amazon.com/images/I/61d84Q0UPtL._AC_UL320_.jpg;4.2;94863;4.35;2.63
Amazon Basics Mini Car Charger with Dual Output, Fast Charging (Type C 20W + Type A 3.0A) Compatible with All Smartphones(...;tv, audio & cameras;https://m.media-amazon.com/images/I/61nz3rtw+SL._AC_UL320_.jpg;4.2;4145;7.69;6.26
Amazon Basics USB Type-C to Micro-B 2.0 Cable for Tablet, Personal Computer, Laptop, Smartphone (0.9 Meters, White);tv, audio & cameras;https://m.media-amazon.com/images/I/51+DZPorBML._AC_UL320_.jpg;4.1;15317;0.01;6.59
Amazon Brand - Solimo 3A Fast Charging Tough Type C USB Data Cable for Smartphone - 1 Meter, White;tv, audio & cameras;https://m.media-amazon.com/images/I/61uP1frz62L._AC_UL320_.jpg;3.6;89;3.29;0.76
AmazonBasics 3.5mm to 2-Male RCA Adapter Cable For Tablet, Smartphone (Black, 15 feet);tv, audio & cameras;https://m.media-amazon.com/images/I/61+22wOG4yL._AC_UL320_.jpg;4.4;71432;0.13;5.38
AmazonBasics 3A Fast Charging L Shaped Braided USB A to USB Type C Data cable for Smartphone (Black/White -1.2 Meter);tv, audio & cameras;https://m.media-amazon.com/images/I/61CudIXMhPL._AC_UL320_.jpg;4.3;21064;6.59;3.29
AmazonBasics Braided 3A USB A to USB Type C Fast Charging Data Cable for Smartphone (Black/White -1.2 Meter);tv, audio & cameras;https://m.media-amazon.com/images/I/71AXCzkLjYL._AC_UL320_.jpg;4.3;21064;6.59;3.84
AmazonBasics Double Braided Nylon USB Type-C to Type-C 2.0 Cable, Charging Adapter, Smartphone 6 feet, Dark Grey;tv, audio & cameras;https://m.media-amazon.com/images/I/61k4h0Pe88L._AC_UL320_.jpg;4.3;5569;0.18;6.81
AmazonBasics Male to Male Stereo Audio Aux Cable with Gold Plated Connectors for Tablet, Smartphone (8 Feet);tv, audio & cameras;https://m.media-amazon.com/images/I/61DypRgcQyL._AC_UL320_.jpg;4.4;17116;9.85;4.17
AmazonBasics Male to Male Stereo Audio Aux Cable with Gold Plated Connectors Tablet, Smartphone 4 Feet;tv, audio & cameras;https://m.media-amazon.com/images/I/61+pbMjCqWL._AC_UL320_.jpg;4.2;35213;0.01;3.29
Amazonbasics Micro USB Fast Charging Cable for Smartphone (3 Feet, Silver);tv, audio & cameras;https://m.media-amazon.com/images/I/51JnC+0Xh1L._AC_UL320_.jpg;4.2;28002;9.90;2.19
Amazonbasics Nylon Braided Usb-C To Lightning Cable, Fast Charging Mfi Certified Smartphone, Iphone Charger (3-Foot, Dark ...;tv, audio & cameras;https://m.media-amazon.com/images/I/51ahmyURCtL._AC_UL320_.jpg;4.3;14140;0.19;10.99
AmazonBasics RJ45 Cat-6 Ethernet Patch/LAN Cable for Smartphone, Router, Printer - 25Feet (7.6Meters)-Black;tv, audio & cameras;https://m.media-amazon.com/images/I/61Nj6nHbCvL._AC_UL320_.jpg;4.5;13646;0.14;3.84
AmazonBasics USB A to Lightning PVC Molded Nylon MFi Certified Charging Cable for Tablet, Personal Computer, Smartphone (B...;tv, audio & cameras;https://m.media-amazon.com/images/I/71b+bVbPTaL._AC_UL320_.jpg;4.2;34723;21.99;6.70
AmazonBasics USB C to Lightning TPE MFi Certified Charging Cable for Smartphone (Black, 1.2 meter);tv, audio & cameras;https://m.media-amazon.com/images/I/61oaR5tj7zL._AC_UL320_.jpg;4.1;8890;21.99;10.44
AmazonBasics USB Type-C to USB Type-C 2.0 Fast Charging Cable for Smartphone, Laptop - 6 Feet (1.8 Meters), White;tv, audio & cameras;https://m.media-amazon.com/images/I/61c0UMl3MPL._AC_UL320_.jpg;4.2;9452;10.99;5.49
Ambrane 27000mAh Li-Polymer Powerbank with Type C and USB Ports | Fast Charging for Smartphones, Smart Watches, Neckbands...;tv, audio & cameras;https://m.media-amazon.com/images/I/61nuUVNkecL._AC_UL320_.jpg;4.2;5266;38.49;25.29
Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro US...;tv, audio & cameras;https://m.media-amazon.com/images/I/61AHm209BtL._AC_UL320_.jpg;4.0;45984;3.29;2.19
Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devi...;tv, audio & cameras;https://m.media-amazon.com/images/I/61ZeHF2Cf4L._AC_UL320_.jpg;4.0;45984;3.29;2.19
Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C to Type C Cable for Smartphones, Tablets, Laptops & Other T...;tv, audio & cameras;https://m.media-amazon.com/images/I/61oLp+pYPxL._AC_UL320_.jpg;4.0;45984;3.29;2.19
Amkette Evo Gamepad Pro 4 for Android | Instant Play | Bluetooth 4.0 | Extendable Smartphone Clamp | Works with COD, Mobil...;tv, audio & cameras;https://m.media-amazon.com/images/I/71Tg6JAz7SL._AC_UL320_.jpg;3.4;75;28.59;21.33
Axxeum Silicon Lightning USB Data Charging Cable Protector and Saver for Both Ends for All Android and iPhone Smartphones...;tv, audio & cameras;https://m.media-amazon.com/images/I/41xLZBXjg-L._AC_UL320_.jpg;3.9;2646;3.30;0.76
Belkin Smartphone Apple Certified Lightning To Type C Cable, Fast Charging For Iphone, Ipad, Air Pods, 3.3 Feet (1 Meters)...;tv, audio & cameras;https://m.media-amazon.com/images/I/31MZNcvK3WL._AC_UL320_.jpg;4.4;4432;27.49;10.99
boAt A 350 Type C Cable for Smartphone, Charging Adapter (1.5m, Carbon Black);tv, audio & cameras;https://m.media-amazon.com/images/I/61ZN6k8pnoL._AC_UL320_.jpg;4.3;29153;8.79;3.29
boAt AUX 500 Indestructible 3.5mm Male to Male Metallic Aux Audio Cable with Gold Plated Connectors for Smartphone, 1.5 Me...;tv, audio & cameras;https://m.media-amazon.com/images/I/61u3cExvfXL._AC_UL320_.jpg;4.3;33299;6.59;3.29
boAt AUX 500 Indestructible Male to Male Metallic Aux Audio Cable with Gold Plated connectors for Smartphone, 1.5 Meter (5...;tv, audio & cameras;https://m.media-amazon.com/images/I/6175NboodZL._AC_UL320_.jpg;4.3;33299;6.59;3.84
boAt Laptop, Smartphone Type-c A400 Male Data Cable (Carbon Black);tv, audio & cameras;https://m.media-amazon.com/images/I/61DMW4mrhDL._AC_UL320_.jpg;4.3;21136;10.99;3.84
Boya by-MM1 Super-Cardioid Shotgun Microphone with Real Time Monitoring Compatible with iPhone/Android Smartphones, DSLR C...;tv, audio & cameras;https://m.media-amazon.com/images/I/51T6FEDoEvL._AC_UL320_.jpg;3.9;4320;6.59;17.46
Callmate 20000mAh Power Bank, 15W Fast Charging| Buit-in Cables | 4 Output Ports and 3 Input | for iPhone, Smartphones & O...;tv, audio & cameras;https://m.media-amazon.com/images/I/51Cc-s5G-KL._AC_UL320_.jpg;3.5;240;27.49;14.84
CLAVIER Pulse in-Ear Headphones/Earphones with Stereo Mic for All Smartphones with Carrying Case (Black);tv, audio & cameras;https://m.media-amazon.com/images/I/51Z44XviWsL._AC_UL320_.jpg;5.0;1;3.29;1.64
CLAVIER Super Bass in-Ear Earphones with Mic for All Smartphones with Rich Bass & Noise Cancellation (Black);tv, audio & cameras;https://m.media-amazon.com/images/I/510HE3OVaqL._AC_UL320_.jpg;4.0;9;6.59;1.64
CLAVIER Super Bass Type-C in-Ear Earphones with Stereo Mic for All Smartphones with Rich Bass & Noise Cancellation;tv, audio & cameras;https://m.media-amazon.com/images/I/31PmoQo3DrL._AC_UL320_.jpg;2.9;5;6.59;1.64
Crossvolt USB Type C Super Vooc Flash Charging Cable for All Type C Phones, Smartphone, Realme Devices;tv, audio & cameras;https://m.media-amazon.com/images/I/41SeZxl2NmL._AC_UL320_.jpg;4.0;159;10.99;3.29
D2Q Vivo Compatible Fast Charging USB Data Cable for Vivo Smartphones Supports High Speed Charging Upto 3.1A (White) (6 Mo...;tv, audio & cameras;https://m.media-amazon.com/images/I/31RQqJWnmpL._AC_UL320_.jpg;3.7;14;8.79;1.64
D2Q Wired Original Galaxy Earphones for All Samsung Smartphones with Mic | Pure Bass Sound | One Button Multi-Function Rem...;tv, audio & cameras;https://m.media-amazon.com/images/I/51fQJaiOO2L._AC_UL320_.jpg;4.2;103;9.89;3.29
D2Q Wired Original Galaxy In Ear Earphones for All Samsung Smartphones with Mic | Pure Bass Sound | One Button Multi-Funct...;tv, audio & cameras;https://m.media-amazon.com/images/I/41dTDVdkEcL._AC_UL320_.jpg;4.2;103;9.89;3.29
DAHSHA 3.5 mm Audio Stereo Y Splitter Adapter, 3.5mm 1 Male to 2 Port Female For Earphone, Adapter For Smartphone, Tablets...;tv, audio & cameras;https://m.media-amazon.com/images/I/61eugUe8VUL._AC_UL320_.jpg;3.8;2598;13.19;2.74
DigioCraft Proshot V2 Teleprompter for iPhone, Ipad, Smartphone, DSRL Camera with Remote Control | Software & Pro Video Re...;tv, audio & cameras;https://m.media-amazon.com/images/I/71LqgTLzDAL._AC_UL320_.jpg;4.2;155;153.99;62.70
Digitek (DTR 480LW) (57 Inch) Portable Lightweight Aluminum Tripod for DSLR Cameras & Smartphones with Operating Ht. 4.75 ...;tv, audio & cameras;https://m.media-amazon.com/images/I/61bcGr6GN6L._AC_UL320_.jpg;4.3;2337;19.75;10.99
